spanish,english
Casa,House
Perro,Dog
Gato,Cat
Ropa,Clothes
Mesa,Table
Silla,Chair
Coche,Car
Tren,Train
Agua,Water
Leche,Milk
Pan,Bread
Amigo,Friend
Madre,Mother
Padre,Father
Hermano,Brother
Hermana,Sister
Escuela,School
Ciudad,City
Playa,Beach
Montaña,Mountain
Tienda,Store
Dinero,Money
Feliz,Happy
Triste,Sad
Grande,Big
Pequeño,Small
Nuevo,New
Viejo,Old
Caliente,Hot
Frío,Cold
Rápido,Fast
Lento,Slow
Bueno,Good
Malo,Bad
Facil,Easy
Dificil,Hard
Negro,Black
Blanco,White
Rojo,Red
Azul,Blue
Verde,Green
Dormir,Sleep
Correr,Run
Caminar,Walk
Leer,Read
Escribir,Write
Comprar,Buy
Vender,Sell
Comer,To eat
Beber,To drink
Abrir,To open
Cerrar,To close
Venir,Come
Ir,Go
Ver,See
Oír,Hear
Decir,Say
Hablar,Speak
Escuchar,Listen
Pensar,Think
Saber,Know
Poder,Can
Querer,Want
Siempre,Always
Nunca,Never
A veces,Sometimes
Ahora,Now
Luego,Later
Hoy,Today
Mañana,Tomorrow
Ayer,Yesterday
